,Dataset,Method,Classifier,ConformalPredictor,Top1,Top5,alpha,use_platt_scaling,calibrated_tau,original_coverage,original_size,oracle_tau,predicted_alpha,predicted_tau,predicted_coverage,predicted_size,on_classes_of,raps_kreg,raps_lambda,shift_type
27,ImageNetV2,DCR,resnet50,TPS,0.633,0.847,0.075,False,0.9819785672976588,0.853,3.655,0.9971310056866928,,0.9933588709487532,0.895,6.293,,-1.0,0.0,ImageNet
28,ImageNetV2,PCR,resnet50,TPS,0.633,0.847,0.075,False,0.9819785672976588,0.853,3.655,0.9971310056866928,,1.0041089057922363,1.0,1000.0,,-1.0,0.0,ImageNet
29,ImageNetV2,QTC,resnet50,TPS,0.633,0.847,0.075,False,0.9819785672976588,0.853,3.655,0.9971310056866928,0.0381000004708766,0.9966407766919568,0.92,9.316,,-1.0,0.0,ImageNet
30,ImageNetV2,QTC-SC,resnet50,TPS,0.633,0.847,0.075,False,0.9819785672976588,0.853,3.655,0.9971310056866928,0.0443000197410583,0.9952806074731468,0.909,7.648,,-1.0,0.0,ImageNet
31,ImageNetV2,QTC-ST,resnet50,TCP,0.633,0.847,0.075,,0.981972683211281,0.853,3.655,0.9971304366251283,,0.9887999892234802,0.876,4.715,,,,ImageNet
32,ImageNetV2,ACR,resnet50,TPS,0.633,0.847,0.1,False,0.9612479916616082,0.812,2.475,0.9940198985122144,,0.989107608795166,0.877,4.788,,-1.0,0.0,ImageNet
33,ImageNetV2,CHR,resnet50,TPS,0.633,0.847,0.1,False,0.9612479916616082,0.812,2.475,0.9940198985122144,,0.9897371530532836,0.88,4.954,,-1.0,0.0,ImageNet
34,ImageNetV2,CHR-,resnet50,TPS,0.633,0.847,0.1,False,0.9612479916616082,0.812,2.475,0.9940198985122144,,0.9896599054336548,0.88,4.934,,-1.0,0.0,ImageNet
35,ImageNetV2,DCR,resnet50,TPS,0.633,0.847,0.1,False,0.9612479916616082,0.812,2.475,0.9940198985122144,,0.9884305446251036,0.874,4.635,,-1.0,0.0,ImageNet
36,ImageNetV2,PCR,resnet50,TPS,0.633,0.847,0.1,False,0.9612479916616082,0.812,2.475,0.9940198985122144,,0.991066038608551,0.885,5.344,,-1.0,0.0,ImageNet
37,ImageNetV2,QTC,resnet50,TPS,0.633,0.847,0.1,False,0.9612479916616082,0.812,2.475,0.9940198985122144,0.0523799993097782,0.9929141575320916,0.894,6.072,,-1.0,0.0,ImageNet
38,ImageNetV2,QTC-SC,resnet50,TPS,0.633,0.847,0.1,False,0.9612479916616082,0.812,2.475,0.9940198985122144,0.0591999888420105,0.990349608864082,0.883,5.129,,-1.0,0.0,ImageNet
39,ImageNetV2,QTC-ST,resnet50,TCP,0.633,0.847,0.1,,0.9612278006924614,0.812,2.474,0.9940215067687538,,0.9782000184059144,0.844,3.306,,,,ImageNet
40,ImageNetV2,ACR,resnet50,TPS,0.633,0.847,0.15,False,0.8901761815445115,0.742,1.523,0.9804846484383288,,0.9691547155380248,0.826,2.773,,-1.0,0.0,ImageNet
41,ImageNetV2,CHR,resnet50,TPS,0.633,0.847,0.15,False,0.8901761815445115,0.742,1.523,0.9804846484383288,,0.9702138900756836,0.828,2.822,,-1.0,0.0,ImageNet
42,ImageNetV2,CHR-,resnet50,TPS,0.633,0.847,0.15,False,0.8901761815445115,0.742,1.523,0.9804846484383288,,0.9776182770729064,0.843,3.259,,-1.0,0.0,ImageNet
43,ImageNetV2,DCR,resnet50,TPS,0.633,0.847,0.15,False,0.8901761815445115,0.742,1.523,0.9804846484383288,,0.9619124874965836,0.813,2.497,,-1.0,0.0,ImageNet
44,ImageNetV2,PCR,resnet50,TPS,0.633,0.847,0.15,False,0.8901761815445115,0.742,1.523,0.9804846484383288,,0.9661267995834352,0.82,2.643,,-1.0,0.0,ImageNet
45,ImageNetV2,QTC,resnet50,TPS,0.633,0.847,0.15,False,0.8901761815445115,0.742,1.523,0.9804846484383288,0.0842000022530555,0.975576101810954,0.838,3.119,,-1.0,0.0,ImageNet
46,ImageNetV2,QTC-SC,resnet50,TPS,0.633,0.847,0.15,False,0.8901761815445115,0.742,1.523,0.9804846484383288,0.0934000015258789,0.9677710644398864,0.823,2.71,,-1.0,0.0,ImageNet
47,ImageNetV2,QTC-ST,resnet50,TCP,0.633,0.847,0.15,,0.8901132412433845,0.741,1.523,0.9804761227492804,,0.9336000084877014,0.776,1.916,,,,ImageNet
48,ImageNetV2,ACR,resnet50,TPS,0.633,0.847,0.2,False,0.7703218605833052,0.676,1.097,0.953263360015452,,0.9265571236610411,0.769,1.83,,-1.0,0.0,ImageNet
49,ImageNetV2,CHR,resnet50,TPS,0.633,0.847,0.2,False,0.7703218605833052,0.676,1.097,0.953263360015452,,0.9383540749549866,0.781,1.985,,-1.0,0.0,ImageNet
50,ImageNetV2,CHR-,resnet50,TPS,0.633,0.847,0.2,False,0.7703218605833052,0.676,1.097,0.953263360015452,,0.9533021450042723,0.8,2.26,,-1.0,0.0,ImageNet
51,ImageNetV2,DCR,resnet50,TPS,0.633,0.847,0.2,False,0.7703218605833052,0.676,1.097,0.953263360015452,,0.9320357736663816,0.775,1.897,,-1.0,0.0,ImageNet
52,ImageNetV2,PCR,resnet50,TPS,0.633,0.847,0.2,False,0.7703218605833052,0.676,1.097,0.953263360015452,,0.9304898381233216,0.774,1.878,,-1.0,0.0,ImageNet
53,ImageNetV2,QTC,resnet50,TPS,0.633,0.847,0.2,False,0.7703218605833052,0.676,1.097,0.953263360015452,0.1191800013184547,0.9391071371796929,0.782,1.996,,-1.0,0.0,ImageNet
54,ImageNetV2,QTC-SC,resnet50,TPS,0.633,0.847,0.2,False,0.7703218605833052,0.676,1.097,0.953263360015452,0.1292999982833862,0.925523387102988,0.768,1.818,,-1.0,0.0,ImageNet
55,ImageNetV2,QTC-ST,resnet50,TCP,0.633,0.847,0.2,,0.7702666071474551,0.676,1.097,0.9532450025004148,,0.845300018787384,0.713,1.305,,,,ImageNet
56,ImageNet-Sketch,ACR,resnet50,TPS,0.241,0.413,0.01,False,0.999823020635074,0.797,164.255,0.9999989392023724,,0.9985109567642212,0.626,41.967,,-1.0,0.0,ImageNet
57,ImageNet-Sketch,CHR,resnet50,TPS,0.241,0.413,0.01,False,0.999823020635074,0.797,164.255,0.9999989392023724,,1.0005958080291748,1.0,1000.0,,-1.0,0.0,ImageNet
58,ImageNet-Sketch,CHR-,resnet50,TPS,0.241,0.413,0.01,False,0.999823020635074,0.797,164.255,0.9999989392023724,,0.9999960064888,0.976,623.974,,-1.0,0.0,ImageNet
59,ImageNet-Sketch,DCR,resnet50,TPS,0.241,0.413,0.01,False,0.999823020635074,0.797,164.255,0.9999989392023724,,1.813474999604648,1.0,1000.0,,-1.0,0.0,ImageNet
60,ImageNet-Sketch,PCR,resnet50,TPS,0.241,0.413,0.01,False,0.999823020635074,0.797,164.255,0.9999989392023724,,0.9904810190200806,0.48,10.073,,-1.0,0.0,ImageNet
61,ImageNet-Sketch,QTC,resnet50,TPS,0.241,0.413,0.01,False,0.999823020635074,0.797,164.255,0.9999989392023724,0.0002800000074785,0.9999999594243372,0.999,913.839,,-1.0,0.0,ImageNet
62,ImageNet-Sketch,QTC-SC,resnet50,TPS,0.241,0.413,0.01,False,0.999823020635074,0.797,164.255,0.9999989392023724,0.0016310214996337,0.9999975433892327,0.983,676.107,,-1.0,0.0,ImageNet
63,ImageNet-Sketch,QTC-ST,resnet50,TCP,0.241,0.413,0.01,,0.999823006067728,0.797,164.246,0.9999989391795318,,0.9990567564964294,0.664,58.095,,,,ImageNet
64,ImageNet-Sketch,ACR,resnet50,TPS,0.241,0.413,0.025,False,0.9987417373315584,0.64,47.394,0.99999569104381,,0.9994651675224304,0.709,85.004,,-1.0,0.0,ImageNet
65,ImageNet-Sketch,CHR,resnet50,TPS,0.241,0.413,0.025,False,0.9987417373315584,0.64,47.394,0.99999569104381,,0.9995452165603638,0.722,94.324,,-1.0,0.0,ImageNet
66,ImageNet-Sketch,CHR-,resnet50,TPS,0.241,0.413,0.025,False,0.9987417373315584,0.64,47.394,0.99999569104381,,1.0024230480194092,1.0,1000.0,,-1.0,0.0,ImageNet
67,ImageNet-Sketch,DCR,resnet50,TPS,0.241,0.413,0.025,False,0.9987417373315584,0.64,47.394,0.99999569104381,,1.0000772608884765,1.0,1000.0,,-1.0,0.0,ImageNet
68,ImageNet-Sketch,PCR,resnet50,TPS,0.241,0.413,0.025,False,0.9987417373315584,0.64,47.394,0.99999569104381,,0.9945032000541688,0.52,15.478,,-1.0,0.0,ImageNet
